OrderID,OrderDate,CustomerID,CustomerName,Product,Category,Quantity,UnitPrice,Discount,Sales,Cost,Profit,Region,State,City
1,2023-11-21,327,Customer 0327,Chair,Furniture,10,3826,10,34434,30168.26,4265.74,East,West Bengal,Kolkata
2,2023-01-16,121,Customer 0121,Printer,Electronics,8,15303,15,104060.4,65610.19,38450.21,West,Maharashtra,Mumbai
3,2023-05-06,73,Customer 0073,Pen,Stationery,11,21,0,231,179.7,51.3,East,West Bengal,Kolkata
4,2024-02-28,227,Customer 0227,Mouse,Electronics,2,639,10,1150.2,860.07,290.13,North,Delhi,New Delhi
5,2024-05-05,314,Customer 0314,Phone,Electronics,14,22953,0,321342,256874.69,64467.31,South,Telangana,Hyderabad
6,2025-08-14,99,Customer 0099,Chair,Furniture,7,3669,5,24398.85,17704.95,6693.9,South,Tamil Nadu,Chennai
7,2023-03-11,202,Customer 0202,Pen,Stationery,4,20,10,72,44.55,27.45,Central,Madhya Pradesh,Bhopal
8,2025-08-21,493,Customer 0493,Keyboard,Electronics,11,1253,10,12404.7,8677.18,3727.52,South,Telangana,Hyderabad
9,2024-03-03,486,Customer 0486,Desk,Furniture,20,7476,0,149520,121253.99,28266.01,East,West Bengal,Kolkata
10,2025-08-15,443,Customer 0443,Printer,Electronics,17,15849,10,242489.7,151455.77,91033.93,South,Tamil Nadu,Chennai
11,2024-01-31,299,Customer 0299,Monitor,Electronics,19,11321,5,204344.05,155938.34,48405.71,Central,Madhya Pradesh,
12,2025-12-05,408,Customer 0408,Phone,Electronics,6,24800,0,148800,114436.12,34363.88,West,Maharashtra,Mumbai
13,2025-12-29,418,Customer 0418,Laptop,Electronics,20,48630,15,826710,702950,123760,North,Uttar Pradesh,Lucknow
14,2023-10-22,269,Customer 0269,Chair,Furniture,4,3720,15,12648,9766.5,2881.5,North,Delhi,New Delhi
15,2025-03-27,261,Customer 0261,Desk,Furniture,5,6645,10,29902.5,22759.35,-7143.15,West,Gujarat,Ahmedabad
16,2024-01-24,376,Customer 0376,Mouse,Electronics,12,544,15,5548.8,4264.8,1284,North,Rajasthan,Jaipur
17,2024-02-16,153,Customer 0153,Laptop,Electronics,9,53994,15,413054.1,285272.12,127781.98,North,Rajasthan,Jaipur
18,2023-01-02,243,Customer 0243,Pen,Stationery,14,18,5,239.4,186.49,52.91,Central,Madhya Pradesh,Bhopal
19,2025-11-27,278,Customer 0278,Keyboard,Electronics,1,1291,5,1226.45,897.15,329.3,North,Rajasthan,Jaipur
20,2025-07-25,277,Customer 0277,Phone,Electronics,18,24324,10,394048.8,281054.82,112993.98,Central,Madhya Pradesh,Bhopal
21,2025-09-29,373,Customer 0373,Phone,Electronics,11,27196,10,269240.4,216778.28,52462.12,West,Gujarat,Ahmedabad
22,2025-08-02,49,Customer 0049,Monitor,Electronics,4,12784,0,51136,45494.42,5641.58,West,Gujarat,Ahmedabad
23,2023-02-16,387,Customer 0387,Laptop,Electronics,15,48686,5,693775.5,442780.82,250994.68,North,Delhi,New Delhi
24,2024-04-27,14,Customer 0014,Notebook,Stationery,3,78,15,198.9,146.43,52.47,West,Gujarat,Ahmedabad
25,2025-02-18,222,Customer 0222,Mouse,Electronics,7,658,15,3915.1,3480.11,-434.99,East,West Bengal,Kolkata
26,2023-08-28,299,Customer 0299,Pen,Stationery,11,21,5,219.45,154.52,64.93,North,Uttar Pradesh,Lucknow
27,2025-08-21,109,Customer 0109,Laptop,Electronics,3,50322,5,143417.7,105324.18,38093.52,South,Karnataka,Bengaluru
28,2025-09-18,43,Customer 0043,Desk,Furniture,15,7093,15,90435.75,78450.1,11985.65,Central,Madhya Pradesh,Bhopal
29,2024-01-24,435,Customer 0435,Pen,Stationery,7,18,5,119.7,100.38,19.32,South,Karnataka,Bengaluru
30,2025-11-16,6,Customer 0006,Phone,Electronics,12,24542,10,265053.6,230118.76,34934.84,East,West Bengal,Kolkata
31,2025-03-27,227,Customer 0227,Notebook,Stationery,1,75,0,75,49.83,25.17,West,Maharashtra,Mumbai
32,2025-01-21,140,Customer 0140,Chair,Furniture,15,3756,0,56340,50199.17,6140.83,Central,Madhya Pradesh,Bhopal
33,2025-07-07,296,Customer 0296,Desk,Furniture,7,7481,10,47130.3,31485.8,15644.5,West,Gujarat,Ahmedabad
34,2024-02-22,94,Customer 0094,Keyboard,Electronics,10,1308,10,11772,9458.95,2313.05,Central,Madhya Pradesh,Bhopal
35,2024-11-09,5,Customer 0005,Printer,Electronics,13,15647,0,203411,176813.37,26597.63,South,Tamil Nadu,Chennai
36,2024-10-04,36,Customer 0036,Notebook,Stationery,7,84,0,588,525.82,62.18,East,West Bengal,Kolkata
37,2025-12-14,286,Customer 0286,Chair,Furniture,5,3690,15,15682.5,10172.6,5509.9,South,Karnataka,Bengaluru
38,2023-07-04,143,Customer 0143,Notebook,Stationery,12,75,15,765,620.97,144.03,North,Rajasthan,Jaipur
39,2023-09-18,153,Customer 0153,Keyboard,Electronics,8,1189,15,8085.2,5712.75,2372.45,Central,Madhya Pradesh,Bhopal
40,2024-07-06,286,Customer 0286,Desk,Furniture,10,7653,5,72703.5,56276.36,16427.14,West,Maharashtra,Mumbai
41,2023-04-25,155,Customer 0155,Keyboard,Electronics,9,1255,15,9600.75,6208.4,3392.35,North,Delhi,New Delhi
42,2025-05-07,136,Customer 0136,Mouse,Electronics,4,635,10,2286,1387.72,898.28,North,Rajasthan,Jaipur
43,2024-05-06,429,Customer 0429,Printer,Electronics,5,15208,10,68436,48842.52,19593.48,Central,Madhya Pradesh,Bhopal
44,2023-12-26,37,Customer 0037,Printer,Electronics,17,14363,10,219753.9,150466.02,69287.88,West,Gujarat,Ahmedabad
45,2025-06-17,179,Customer 0179,Notebook,Stationery,2,87,15,147.9,110.33,37.57,South,Telangana,Hyderabad
46,2024-11-03,351,Customer 0351,Chair,Furniture,1,3724,5,3537.8,2727.22,810.58,East,West Bengal,Kolkata
47,2024-04-22,497,Customer 0497,Monitor,Electronics,18,12753,15,195120.9,119960.62,75160.28,South,Tamil Nadu,Chennai
48,2024-04-07,137,Customer 0137,Pen,Stationery,7,22,0,154,98.07,55.93,North,Rajasthan,Jaipur
49,2025-04-29,344,Customer 0344,Keyboard,Electronics,17,1167,0,19839,15675.32,4163.68,South,Telangana,Hyderabad
50,2025-09-04,307,Customer 0307,Chair,Furniture,4,3594,5,13657.2,9113.79,-4543.41,East,West Bengal,Kolkata
51,2023-06-16,19,Customer 0019,Notebook,Stationery,9,76,15,581.4,424.24,157.16,North,Rajasthan,Jaipur
52,2024-05-01,473,Customer 0473,Printer,Electronics,6,15834,15,80753.4,55746.25,25007.15,South,Telangana,Hyderabad
53,2023-09-23,480,Customer 0480,Chair,Furniture,2,3705,10,6669,4320.14,2348.86,West,Gujarat,Ahmedabad
54,2025-05-04,499,Customer 0499,Phone,Electronics,17,27058,0,459986,290962.14,169023.86,East,West Bengal,Kolkata
55,2025-05-05,491,Customer 0491,Keyboard,Electronics,17,1264,5,20413.6,12860.26,7553.34,North,Delhi,New Delhi
56,2025-02-11,452,Customer 0452,Monitor,Electronics,19,11751,5,212105.55,140216.72,71888.83,West,Gujarat,Ahmedabad
57,2024-02-16,138,Customer 0138,Printer,Electronics,7,13933,0,97531,67457.61,-30073.39,West,Gujarat,Ahmedabad
58,2025-09-14,265,Customer 0265,Pen,Stationery,12,21,15,214.2,178.1,36.1,South,Tamil Nadu,Chennai
59,2023-11-28,111,Customer 0111,Keyboard,Electronics,13,1274,15,14077.7,9405.23,4672.47,North,Rajasthan,Jaipur
60,2024-03-28,448,Customer 0448,Keyboard,Electronics,14,1317,15,15672.3,11321.93,4350.37,North,Uttar Pradesh,Lucknow
61,2024-09-06,144,Customer 0144,Notebook,Stationery,20,72,15,1224,855.7,368.3,North,Rajasthan,Jaipur
62,2023-02-24,367,Customer 0367,Monitor,Electronics,13,11470,0,149110,100757.31,48352.69,Central,Madhya Pradesh,Bhopal
63,2024-12-07,230,Customer 0230,Mouse,Electronics,4,555,0,2220,1787.07,432.93,West,Maharashtra,Mumbai
64,2023-09-29,224,Customer 0224,Mouse,Electronics,11,565,10,5593.5,4587.48,1006.02,South,Telangana,Hyderabad
65,2023-04-11,151,Customer 0151,Pen,Stationery,2,18,15,30.6,19.46,11.14,Central,Madhya Pradesh,Bhopal
66,2025-11-29,262,Customer 0262,Pen,Stationery,8,20,10,144,104.18,39.82,West,Gujarat,Ahmedabad
67,2024-06-25,100,Customer 0100,Desk,Furniture,8,7194,10,51796.8,38855.77,12941.03,North,Rajasthan,Jaipur
68,2023-12-13,432,Customer 0432,Notebook,Stationery,7,74,5,492.1,323.61,168.49,West,Gujarat,Ahmedabad
69,2023-03-07,466,Customer 0466,Notebook,Stationery,19,84,15,1356.6,819.86,536.74,North,Delhi,New Delhi
70,2024-09-15,118,Customer 0118,Phone,Electronics,18,22588,0,406584,361293.32,45290.68,North,Rajasthan,Jaipur
71,2023-04-22,177,Customer 0177,Printer,Electronics,10,16234,10,146106,116849.87,29256.13,South,Telangana,Hyderabad
72,2023-02-20,334,Customer 0334,Printer,Electronics,13,15188,0,197444,137922.22,59521.78,South,Telangana,Hyderabad
73,2025-05-30,312,Customer 0312,Monitor,Electronics,6,11029,15,56247.9,45638.39,10609.51,South,Telangana,Hyderabad
74,2024-11-09,199,Customer 0199,Monitor,Electronics,6,11293,10,60982.2,46717.92,14264.28,West,Maharashtra,Mumbai
75,2023-03-08,120,Customer 0120,Chair,Furniture,2,3269,5,6211.1,5188.87,1022.23,North,Rajasthan,Jaipur
76,2023-09-02,248,Customer 0248,Laptop,Electronics,6,47725,10,257715,165761.87,91953.13,Central,Madhya Pradesh,Bhopal
77,2024-11-12,391,Customer 0391,Pen,Stationery,11,20,0,220,140.75,79.25,South,Telangana,Hyderabad
78,2025-02-06,54,Customer 0054,Mouse,Electronics,8,589,0,4712,3658.22,1053.78,North,Delhi,New Delhi
79,2025-03-23,313,Customer 0313,Keyboard,Electronics,5,1320,5,6270,4135.36,2134.64,North,Uttar Pradesh,Lucknow
80,2025-01-02,279,Customer 0279,Laptop,Electronics,15,54769,10,739381.5,544824.32,194557.18,West,Gujarat,Ahmedabad
81,2025-08-25,231,Customer 0231,Notebook,Stationery,12,87,10,939.6,574.85,364.75,North,Rajasthan,Jaipur
82,2023-06-26,433,Customer 0433,Phone,Electronics,20,25687,5,488053,347051.62,141001.38,Central,Madhya Pradesh,Bhopal
83,2025-11-03,245,Customer 0245,Desk,Furniture,14,7024,0,98336,62009.65,36326.35,South,Tamil Nadu,Chennai
84,2025-09-23,226,Customer 0226,Notebook,Stationery,17,76,10,1162.8,821.23,341.57,South,Tamil Nadu,Chennai
85,2024-03-09,370,Customer 0370,Notebook,Stationery,1,81,10,72.9,59.71,13.19,South,Karnataka,Bengaluru
86,2023-10-07,471,Customer 0471,Chair,Furniture,15,3349,15,42699.75,29061.52,13638.23,East,West Bengal,Kolkata
87,2024-02-13,310,Customer 0310,Chair,Furniture,16,3782,5,57486.4,49619.22,7867.18,South,Tamil Nadu,Chennai
88,2024-03-07,269,Customer 0269,Laptop,Electronics,5,54691,5,259782.25,220142.54,39639.71,West,Gujarat,Ahmedabad
89,2023-06-07,327,Customer 0327,Chair,Furniture,9,3469,0,31221,27533.58,3687.42,South,Tamil Nadu,Chennai
90,2023-05-16,159,Customer 0159,Desk,Furniture,2,7493,15,12738.1,10810.18,1927.92,North,Rajasthan,Jaipur
91,2023-04-12,463,Customer 0463,Phone,Electronics,2,26274,0,52548,36611.57,15936.43,East,West Bengal,Kolkata
92,2025-03-18,21,Customer 0021,Monitor,Electronics,6,12264,5,69904.8,48383.34,21521.46,South,Tamil Nadu,Chennai
93,2023-08-07,16,Customer 0016,Chair,Furniture,5,3389,5,16097.75,11260.17,4837.58,South,Telangana,Hyderabad
94,2024-10-14,193,Customer 0193,Notebook,Stationery,1,87,15,73.95,55.28,18.67,South,Tamil Nadu,Chennai
95,2025-03-02,275,Customer 0275,Notebook,Stationery,12,84,0,1008,630.42,377.58,South,Telangana,Hyderabad
96,2025-09-14,147,Customer 0147,Notebook,Stationery,14,72,15,856.8,730.44,126.36,South,Karnataka,Bengaluru
97,2025-09-19,325,Customer 0325,Chair,Furniture,18,3705,0,66690,47145.09,19544.91,West,Maharashtra,Mumbai
98,2024-05-03,27,Customer 0027,Laptop,Electronics,14,54708,15,651025.2,391824.58,259200.62,West,Maharashtra,Mumbai
